method,fpr,tpr,auc
Isolation Forest,0.2781232334652346,0.9952456418383518,0.9709873960684047
Isolation Forest,0.29451667608818544,0.9952456418383518,0.9709873960684047
Isolation Forest,0.2956472583380441,0.9952456418383518,0.9709873960684047
Isolation Forest,0.3436970039570379,0.9952456418383518,0.9709873960684047
Isolation Forest,0.3436970039570379,0.9968304278922345,0.9709873960684047
Isolation Forest,0.5296777840587903,0.9968304278922345,0.9709873960684047
Isolation Forest,0.5308083663086489,0.9968304278922345,0.9709873960684047
Isolation Forest,0.6370830977953647,0.9968304278922345,0.9709873960684047
Isolation Forest,0.6370830977953647,0.9984152139461173,0.9709873960684047
Isolation Forest,0.646127755794234,0.9984152139461173,0.9709873960684047
Isolation Forest,0.6472583380440927,0.9984152139461173,0.9709873960684047
Isolation Forest,0.7105709440361786,0.9984152139461173,0.9709873960684047
Isolation Forest,0.7105709440361786,1.0,0.9709873960684047
Isolation Forest,0.8349349915206331,1.0,0.9709873960684047
Isolation Forest,0.8360655737704918,1.0,0.9709873960684047
Isolation Forest,0.8603730921424534,1.0,0.9709873960684047
Isolation Forest,0.861503674392312,1.0,0.9709873960684047
Isolation Forest,0.9660825325042397,1.0,0.9709873960684047
Isolation Forest,0.9672131147540983,1.0,0.9709873960684047
Isolation Forest,0.9858677218767665,1.0,0.9709873960684047
Isolation Forest,0.9869983041266253,1.0,0.9709873960684047
Isolation Forest,1.0,1.0,0.9709873960684047
One-Class SVM,0.0,0.0,0.3426201736366494
One-Class SVM,0.0,0.001584786053882726,0.3426201736366494
One-Class SVM,0.0,0.06814580031695722,0.3426201736366494
One-Class SVM,0.0005652911249293386,0.06814580031695722,0.3426201736366494
One-Class SVM,0.0005652911249293386,0.0919175911251981,0.3426201736366494
One-Class SVM,0.0011305822498586771,0.0919175911251981,0.3426201736366494
One-Class SVM,0.0011305822498586771,0.09667194928684628,0.3426201736366494
One-Class SVM,0.0016958733747880158,0.09667194928684628,0.3426201736366494
One-Class SVM,0.0016958733747880158,0.10776545166402536,0.3426201736366494
One-Class SVM,0.0022611644997173543,0.10776545166402536,0.3426201736366494
One-Class SVM,0.0022611644997173543,0.11251980982567353,0.3426201736366494
One-Class SVM,0.0033917467495760316,0.11251980982567353,0.3426201736366494
One-Class SVM,0.0033917467495760316,0.11410459587955626,0.3426201736366494
