run,step,metric,value
PPO_1,1137120,value_loss,1663003.0
PPO_1,1142640,value_loss,951169.9375
PPO_1,1148160,value_loss,1661472.375
PPO_1,1153680,value_loss,948772.8125
PPO_1,1159200,value_loss,1659030.125
PPO_1,1164720,value_loss,945996.0
PPO_1,1170240,value_loss,1641228.375
PPO_1,1178520,value_loss,20638.580078125
PPO_1,1184040,value_loss,7907716.5
PPO_1,1189560,value_loss,20649.205078125
PPO_1,1195080,value_loss,7904616.5
PPO_1,1200600,value_loss,20557.03515625
PPO_1,1206120,value_loss,7887462.5
PPO_1,1214400,value_loss,1647024.0
PPO_1,1219920,value_loss,933412.0625
PPO_1,1225440,value_loss,1620702.75
PPO_1,1230960,value_loss,931060.9375
PPO_1,1236480,value_loss,1635212.375
PPO_1,1242000,value_loss,928111.75
PPO_1,1250280,value_loss,7858862.0
PPO_1,1255800,value_loss,20981.01953125
PPO_1,1261320,value_loss,7842788.5
PPO_1,1266840,value_loss,20458.36328125
PPO_1,1272360,value_loss,7834125.5
PPO_1,1277880,value_loss,20868.994140625
PPO_1,1283400,value_loss,7821521.0
PPO_1,1291680,value_loss,1602043.25
PPO_1,1297200,value_loss,915422.5
PPO_1,1302720,value_loss,1596098.0
PPO_1,1308240,value_loss,912075.75
PPO_1,1313760,value_loss,1587207.125
PPO_1,1319280,value_loss,909507.75
PPO_1,1327560,value_loss,7802066.0
PPO_1,1333080,value_loss,20268.095703125
PPO_1,1338600,value_loss,7787408.5
PPO_1,1344120,value_loss,20103.810546875
PPO_1,1349640,value_loss,7785354.0
PPO_1,1355160,value_loss,19785.7578125
PPO_1,1363440,value_loss,896165.25
PPO_1,1368960,value_loss,1587604.5
PPO_1,1374480,value_loss,893265.75
PPO_1,1380000,value_loss,1579935.0
PPO_1,1385520,value_loss,890155.5625
PPO_1,1391040,value_loss,1578411.75
PPO_1,1396560,value_loss,886035.1875
PPO_1,1404840,value_loss,7727951.0
PPO_1,1410360,value_loss,19164.197265625
PPO_1,1415880,value_loss,7716609.5
PPO_1,1421400,value_loss,18116.796875
PPO_1,1426920,value_loss,7713831.5
PPO_1,1432440,value_loss,18906.7109375
PPO_1,1440720,value_loss,872475.9375
PPO_1,1446240,value_loss,1565050.875
PPO_1,1451760,value_loss,868527.8125
PPO_1,1457280,value_loss,1563171.5
PPO_1,1462800,value_loss,865065.1875
PPO_1,1468320,value_loss,1557008.625
PPO_1,1476600,value_loss,16320.619140625
PPO_1,1482120,value_loss,7652153.5
PPO_1,1487640,value_loss,16368.95703125
